ID_MES,DEPARTAMENTO,SITIO_TURISTICO,NUMERO_VISITANTES
2,CUSCO,SAPANTIANA,592.3333333333334
2,CUSCO,SERVICIOS DE TREN INCA RAIL,20402.85714285714
2,CUSCO,SERVICIOS DE TRENES DE PERU RAIL,19272.666666666668
2,CUSCO,SITIO ARQUEOLÓGICO DE PUKAPUKARA,7813.571428571428
2,CUSCO,SITIO ARQUEOLÓGICO DE QENQO,8906.42857142857
2,CUSCO,SITIO ARQUEOLÓGICO DE TAMBOMACHAY,8509.42857142857
2,HUANCAVELICA,"MUSEO ARQUEOLÓGICO ""SAMUEL HUMBERTO ESPINOZA LOZANO""",1.4285714285714286
2,HUANCAVELICA,"MUSEO REGIONAL ""DANIEL HERNÁNDEZ MORILLO""",0.42857142857142855
2,HUÃNUCO,COMPLEJO ARQUEOLÓGICO HUÁNUCO PAMPA,3.0
2,HUÃNUCO,COMPLEJO ARQUEOLÓGICO KOTOSH,17.714285714285715
2,HUÃNUCO,PARQUE NACIONAL DE TINGO MARÍA (CUEVA DE LAS LECHUZAS),36.142857142857146
2,ICA,MIRADOR DE LAS LÍNEAS DE NASCA,2959.4285714285716
2,ICA,"MUSEO DE SITIO PARACAS ""JULIO C. TELLO""",279.42857142857144
2,ICA,MUSEO REGIONAL ADOLFO BERMÚDEZ JENKINS,180.0
2,ICA,RESERVA NACIONAL DE PARACAS,4786.571428571428
2,ICA,RESERVA NACIONAL SAN FERNANDO,24.142857142857142
2,ICA,"RESERVA NACIONAL SISTEMA DE ISLAS, ISLOTES Y PUNTAS GUANERAS (RNSIIPG) ISLAS BALLESTAS",10522.0
2,ICA,"RESERVA NACIONAL SISTEMA DE ISLAS, ISLOTES Y PUNTAS GUANERAS (RNSIIPG) SAN JUAN",2.5714285714285716
2,JUNÃN,MUSEO DE SITIO Y SANTUARIO DE WARIWILCA,11.285714285714286
2,JUNÃN,MUSEO REGIONAL DE ARQUEOLOGÍA DE JUNÍN,0.5714285714285714
2,JUNÃN,SANTUARIO HISTÓRICO DE CHACAMARCA,0.0
2,LA LIBERTAD,COMPLEJO ARQUEOLÓGICO HUACA ARCO IRIS,215.28571428571428
2,LA LIBERTAD,COMPLEJO ARQUEOLÓGICO HUACA DEL SOL Y DE LA LUNA,1229.7142857142858
2,LA LIBERTAD,COMPLEJO ARQUEOLÓGICO HUACA EL BRUJO,268.0
2,LA LIBERTAD,MUSEO DE SITIO CHAN CHAN,489.14285714285717
2,LA LIBERTAD,"PALACIO NIKÁN ""CASA DEL CENTRO""",1292.2857142857142
2,LAMBAYEQUE,MUSEO DE SITIO DE TÚCUME,161.42857142857142
2,LAMBAYEQUE,MUSEO DE SITIO HUACA CHOTUNA-CHORNACAP,4.571428571428571
2,LAMBAYEQUE,MUSEO DE SITIO HUACA RAJADA SIPÁN,115.57142857142857
2,LAMBAYEQUE,MUSEO DE TUMBAS REALES DEL SEÑOR DE SIPÁN,518.0
2,LAMBAYEQUE,MUSEO NACIONAL DE ARQUEOLOGÍA Y ETNOGRAFÍA HEINRICH BRÜNING,173.57142857142858
2,LAMBAYEQUE,MUSEO NACIONAL DE SICÁN,76.85714285714286
2,LAMBAYEQUE,REFUGIO DE VIDA SILVESTRE DE LAQUIPAMPA,0.3333333333333333
2,LAMBAYEQUE,SANTUARIO HISTÓRICO BOSQUE DE PÓMAC,38.857142857142854
2,LIMA,CASA MUSEO JOSÉ CARLOS MARIÁTEGUI,16.857142857142858
2,LIMA,CENTRO TURÍSTICO CASTILLO DE CHANCAY,0.0
2,LIMA,CIRCUITO MÁGICO DEL AGUA DEL PARQUE DE LA RESERVA,6744.142857142857
2,LIMA,CIUDAD SAGRADA DE CARAL,85.57142857142857
2,LIMA,COMPLEJO ARQUEOLÓGICO MATEO SALADO,90.42857142857143
2,LIMA,"LUGAR DE LA MEMORIA, LA TOLERANCIA Y LA INCLUSIÓN SOCIAL",641.2857142857143
2,LIMA,MUSEO DE ARTE ITALIANO,86.71428571428571
2,LIMA,MUSEO DE LA NACIÓN,322.6666666666667
2,LIMA,MUSEO DE LOS COMBATIENTES DEL MORRO DE ARICA,5.333333333333333
2,LIMA,"MUSEO DE SITIO ""EL MIRADOR DEL CERRO SAN CRISTÓBAL""",10.714285714285714
2,LIMA,MUSEO DE SITIO ANDRÉS AVELINO CÁCERES,0.0
2,LIMA,MUSEO DE SITIO ARTURO JIMÉMEZ BORJA - PURUCHUCO,5.714285714285714
2,LIMA,MUSEO DE SITIO HUACA PUCLLANA,5645.142857142857
2,LIMA,MUSEO DE SITIO HUALLAMARCA,365.0
2,LIMA,MUSEO DE SITIO PACHACAMAC,1614.7142857142858
2,LIMA,MUSEO DEL EJÉRCITO CONTEMPORÁNEO CHAVÍN DE HUÁNTAR,0.0
2,LIMA,MUSEO NACIONAL DE ARQUEOLOGÍA,888.5714285714286
2,LIMA,MUSEO NACIONAL DE LA CULTURA PERUANA,27.0
2,LIMA,MUSEO NAVAL CASA GRAU,39.833333333333336
2,LIMA,REFUGIO DE VIDA SILVESTRE PANTANOS DE VILLA,64.42857142857143
2,LIMA,RESERVA NACIONAL DE LACHAY,11.857142857142858
2,LIMA,RESERVA PAISAJÍSTICA NOR YAUYOS - COCHAS,61.57142857142857
2,LIMA,ZONA ARQUEOLÓGICA DE HUAYCÁN DE CIENEGUILLA,19.142857142857142
2,LORETO,COMPLEJO TURÍSTICO DE QUISTOCOCHA,86.28571428571429
