FECHA_CORTE;ANIO;ID_MES;MES;ID_PAIS;PAIS;ID_CONTINENTE;CONTINENTE;ID_OCM;OCM;DEPARTAMENTO_OCM;NUMERO_VISITANTES;BLOQUE;TIPO_VISITANTE
20260330;2023;8;AGOSTO;173;SUECIA;4;EUROPA;1;AEROPUERTO INTERNACIONAL JORGE CHÁVEZ;LIMA Y CALLAO;4;OCEX;EXCURSIONISTAS
20260330;2023;8;AGOSTO;173;SUECIA;4;EUROPA;2;SANTA ROSA;TACNA;2;OCEX;EXCURSIONISTAS
20260330;2023;8;AGOSTO;173;SUECIA;4;EUROPA;3;DESAGUADERO;PUNO;0;OCEX;EXCURSIONISTAS
20260330;2023;8;AGOSTO;173;SUECIA;4;EUROPA;4;KASANI;PUNO;0;OCEX;EXCURSIONISTAS
20260330;2023;8;AGOSTO;173;SUECIA;4;EUROPA;5;CEBAF - TUMBES;TUMBES;1;OCEX;EXCURSIONISTAS
20260330;2023;8;AGOSTO;173;SUECIA;4;EUROPA;6;OTRAS OCM;-;0;OCEX;EXCURSIONISTAS
20260330;2023;8;AGOSTO;174;SUIZA;4;EUROPA;1;AEROPUERTO INTERNACIONAL JORGE CHÁVEZ;LIMA Y CALLAO;17;OCEX;EXCURSIONISTAS
20260330;2023;8;AGOSTO;174;SUIZA;4;EUROPA;2;SANTA ROSA;TACNA;1;OCEX;EXCURSIONISTAS
20260330;2023;8;AGOSTO;174;SUIZA;4;EUROPA;3;DESAGUADERO;PUNO;2;OCEX;EXCURSIONISTAS
20260330;2023;8;AGOSTO;174;SUIZA;4;EUROPA;4;KASANI;PUNO;5;OCEX;EXCURSIONISTAS
20260330;2023;8;AGOSTO;174;SUIZA;4;EUROPA;5;CEBAF - TUMBES;TUMBES;0;OCEX;EXCURSIONISTAS
20260330;2023;8;AGOSTO;174;SUIZA;4;EUROPA;6;OTRAS OCM;-;1;OCEX;EXCURSIONISTAS
20260330;2023;8;AGOSTO;175;SURINAM;3;AMÉRICA DEL SUR;1;AEROPUERTO INTERNACIONAL JORGE CHÁVEZ;LIMA Y CALLAO;0;;EXCURSIONISTAS
20260330;2023;8;AGOSTO;175;SURINAM;3;AMÉRICA DEL SUR;2;SANTA ROSA;TACNA;0;;EXCURSIONISTAS
20260330;2023;8;AGOSTO;192;VANUATU;7;OCEANÍA;2;SANTA ROSA;TACNA;0;;EXCURSIONISTAS
20260330;2023;8;AGOSTO;192;VANUATU;7;OCEANÍA;3;DESAGUADERO;PUNO;0;;EXCURSIONISTAS
20260330;2023;8;AGOSTO;192;VANUATU;7;OCEANÍA;4;KASANI;PUNO;0;;EXCURSIONISTAS
20260330;2023;8;AGOSTO;192;VANUATU;7;OCEANÍA;5;CEBAF - TUMBES;TUMBES;0;;EXCURSIONISTAS
20260330;2023;8;AGOSTO;192;VANUATU;7;OCEANÍA;6;OTRAS OCM;-;0;;EXCURSIONISTAS
20260330;2023;8;AGOSTO;193;VATICANO;4;EUROPA;1;AEROPUERTO INTERNACIONAL JORGE CHÁVEZ;LIMA Y CALLAO;0;;EXCURSIONISTAS
20260330;2023;8;AGOSTO;193;VATICANO;4;EUROPA;2;SANTA ROSA;TACNA;0;;EXCURSIONISTAS
20260330;2023;8;AGOSTO;193;VATICANO;4;EUROPA;3;DESAGUADERO;PUNO;0;;EXCURSIONISTAS
20260330;2023;8;AGOSTO;193;VATICANO;4;EUROPA;4;KASANI;PUNO;0;;EXCURSIONISTAS
20260330;2023;8;AGOSTO;193;VATICANO;4;EUROPA;5;CEBAF - TUMBES;TUMBES;0;;EXCURSIONISTAS
20260330;2023;8;AGOSTO;193;VATICANO;4;EUROPA;6;OTRAS OCM;-;0;;EXCURSIONISTAS
20260330;2023;8;AGOSTO;194;VENEZUELA;3;AMÉRICA DEL SUR;1;AEROPUERTO INTERNACIONAL JORGE CHÁVEZ;LIMA Y CALLAO;0;OCEX;EXCURSIONISTAS
20260330;2023;8;AGOSTO;194;VENEZUELA;3;AMÉRICA DEL SUR;2;SANTA ROSA;TACNA;0;OCEX;EXCURSIONISTAS
20260330;2023;8;AGOSTO;194;VENEZUELA;3;AMÉRICA DEL SUR;3;DESAGUADERO;PUNO;0;OCEX;EXCURSIONISTAS
20260330;2023;8;AGOSTO;194;VENEZUELA;3;AMÉRICA DEL SUR;4;KASANI;PUNO;0;OCEX;EXCURSIONISTAS
20260330;2023;8;AGOSTO;194;VENEZUELA;3;AMÉRICA DEL SUR;5;CEBAF - TUMBES;TUMBES;0;OCEX;EXCURSIONISTAS
20260330;2023;8;AGOSTO;194;VENEZUELA;3;AMÉRICA DEL SUR;6;OTRAS OCM;-;0;OCEX;EXCURSIONISTAS
20260330;2023;8;AGOSTO;195;VIETNAM;5;ASIA;1;AEROPUERTO INTERNACIONAL JORGE CHÁVEZ;LIMA Y CALLAO;0;APEC;EXCURSIONISTAS
20260330;2023;8;AGOSTO;195;VIETNAM;5;ASIA;2;SANTA ROSA;TACNA;0;APEC;EXCURSIONISTAS
20260330;2023;8;AGOSTO;195;VIETNAM;5;ASIA;3;DESAGUADERO;PUNO;0;APEC;EXCURSIONISTAS
20260330;2023;8;AGOSTO;195;VIETNAM;5;ASIA;4;KASANI;PUNO;0;APEC;EXCURSIONISTAS
20260330;2023;8;AGOSTO;195;VIETNAM;5;ASIA;5;CEBAF - TUMBES;TUMBES;0;APEC;EXCURSIONISTAS
20260330;2023;8;AGOSTO;195;VIETNAM;5;ASIA;6;OTRAS OCM;-;9;APEC;EXCURSIONISTAS
20260330;2023;8;AGOSTO;196;YEMEN;5;ASIA;1;AEROPUERTO INTERNACIONAL JORGE CHÁVEZ;LIMA Y CALLAO;0;;EXCURSIONISTAS
20260330;2023;8;AGOSTO;196;YEMEN;5;ASIA;2;SANTA ROSA;TACNA;0;;EXCURSIONISTAS
20260330;2023;8;AGOSTO;196;YEMEN;5;ASIA;3;DESAGUADERO;PUNO;0;;EXCURSIONISTAS
20260330;2023;8;AGOSTO;196;YEMEN;5;ASIA;4;KASANI;PUNO;0;;EXCURSIONISTAS
20260330;2023;8;AGOSTO;196;YEMEN;5;ASIA;5;CEBAF - TUMBES;TUMBES;0;;EXCURSIONISTAS
20260330;2023;8;AGOSTO;196;YEMEN;5;ASIA;6;OTRAS OCM;-;0;;EXCURSIONISTAS
20260330;2023;8;AGOSTO;197;ZAMBIA;6;ÁFRICA;1;AEROPUERTO INTERNACIONAL JORGE CHÁVEZ;LIMA Y CALLAO;0;;EXCURSIONISTAS
20260330;2023;8;AGOSTO;197;ZAMBIA;6;ÁFRICA;2;SANTA ROSA;TACNA;0;;EXCURSIONISTAS
20260330;2023;8;AGOSTO;197;ZAMBIA;6;ÁFRICA;3;DESAGUADERO;PUNO;0;;EXCURSIONISTAS
