FECHA_CORTE,ANIO,ID_MES,MES,ID_PAIS,PAIS,ID_CONTINENTE,CONTINENTE,ID_OCM,OCM,DEPARTAMENTO_OCM,NUMERO_VISITANTES,TIPO_VISITANTE
20260330,2019,1,ENERO,74,GHANA,6,ÁFRICA,5,CEBAF - TUMBES,TUMBES,0,TURISTAS
20260330,2019,1,ENERO,74,GHANA,6,ÁFRICA,6,OTRAS OCM,-,0,TURISTAS
20260330,2019,1,ENERO,75,GRANADA,2,AMÉRICA CENTRAL,1,AEROPUERTO INTERNACIONAL JORGE CHÁVEZ,LIMA Y CALLAO,3,TURISTAS
20260330,2019,1,ENERO,75,GRANADA,2,AMÉRICA CENTRAL,2,SANTA ROSA,TACNA,0,TURISTAS
20260330,2019,1,ENERO,75,GRANADA,2,AMÉRICA CENTRAL,3,DESAGUADERO,PUNO,1,TURISTAS
20260330,2019,1,ENERO,75,GRANADA,2,AMÉRICA CENTRAL,4,KASANI,PUNO,0,TURISTAS
20260330,2019,1,ENERO,75,GRANADA,2,AMÉRICA CENTRAL,5,CEBAF - TUMBES,TUMBES,0,TURISTAS
20260330,2019,1,ENERO,75,GRANADA,2,AMÉRICA CENTRAL,6,OTRAS OCM,-,0,TURISTAS
20260330,2019,1,ENERO,76,GRECIA,4,EUROPA,1,AEROPUERTO INTERNACIONAL JORGE CHÁVEZ,LIMA Y CALLAO,121,TURISTAS
20260330,2019,1,ENERO,76,GRECIA,4,EUROPA,2,SANTA ROSA,TACNA,3,TURISTAS
20260330,2019,1,ENERO,76,GRECIA,4,EUROPA,3,DESAGUADERO,PUNO,13,TURISTAS
20260330,2019,1,ENERO,76,GRECIA,4,EUROPA,4,KASANI,PUNO,11,TURISTAS
20260330,2019,1,ENERO,76,GRECIA,4,EUROPA,5,CEBAF - TUMBES,TUMBES,3,TURISTAS
20260330,2019,1,ENERO,76,GRECIA,4,EUROPA,6,OTRAS OCM,-,5,TURISTAS
20260330,2019,1,ENERO,77,GROENLANDIA,4,EUROPA,1,AEROPUERTO INTERNACIONAL JORGE CHÁVEZ,LIMA Y CALLAO,0,TURISTAS
20260330,2019,1,ENERO,77,GROENLANDIA,4,EUROPA,2,SANTA ROSA,TACNA,0,TURISTAS
20260330,2019,1,ENERO,77,GROENLANDIA,4,EUROPA,3,DESAGUADERO,PUNO,0,TURISTAS
20260330,2019,1,ENERO,77,GROENLANDIA,4,EUROPA,4,KASANI,PUNO,0,TURISTAS
20260330,2019,1,ENERO,77,GROENLANDIA,4,EUROPA,5,CEBAF - TUMBES,TUMBES,0,TURISTAS
20260330,2019,1,ENERO,77,GROENLANDIA,4,EUROPA,6,OTRAS OCM,-,0,TURISTAS
20260330,2019,1,ENERO,78,GUATEMALA,2,AMÉRICA CENTRAL,1,AEROPUERTO INTERNACIONAL JORGE CHÁVEZ,LIMA Y CALLAO,454,TURISTAS
20260330,2019,1,ENERO,78,GUATEMALA,2,AMÉRICA CENTRAL,2,SANTA ROSA,TACNA,5,TURISTAS
20260330,2019,1,ENERO,78,GUATEMALA,2,AMÉRICA CENTRAL,3,DESAGUADERO,PUNO,2,TURISTAS
20260330,2019,1,ENERO,78,GUATEMALA,2,AMÉRICA CENTRAL,4,KASANI,PUNO,1,TURISTAS
20260330,2019,1,ENERO,78,GUATEMALA,2,AMÉRICA CENTRAL,5,CEBAF - TUMBES,TUMBES,9,TURISTAS
20260330,2019,1,ENERO,78,GUATEMALA,2,AMÉRICA CENTRAL,6,OTRAS OCM,-,11,TURISTAS
20260330,2019,1,ENERO,79,GUINEA,6,ÁFRICA,1,AEROPUERTO INTERNACIONAL JORGE CHÁVEZ,LIMA Y CALLAO,1,TURISTAS
20260330,2019,1,ENERO,79,GUINEA,6,ÁFRICA,2,SANTA ROSA,TACNA,0,TURISTAS
20260330,2019,1,ENERO,79,GUINEA,6,ÁFRICA,3,DESAGUADERO,PUNO,0,TURISTAS
20260330,2019,1,ENERO,79,GUINEA,6,ÁFRICA,4,KASANI,PUNO,0,TURISTAS
20260330,2019,1,ENERO,79,GUINEA,6,ÁFRICA,5,CEBAF - TUMBES,TUMBES,0,TURISTAS
20260330,2019,1,ENERO,79,GUINEA,6,ÁFRICA,6,OTRAS OCM,-,0,TURISTAS
20260330,2019,1,ENERO,80,GUINEA BISSAU,6,ÁFRICA,1,AEROPUERTO INTERNACIONAL JORGE CHÁVEZ,LIMA Y CALLAO,0,TURISTAS
20260330,2019,1,ENERO,80,GUINEA BISSAU,6,ÁFRICA,2,SANTA ROSA,TACNA,0,TURISTAS
20260330,2019,1,ENERO,80,GUINEA BISSAU,6,ÁFRICA,3,DESAGUADERO,PUNO,0,TURISTAS
